time,nino34_anom,pred
1991-11-01,1.2000000476837158,1.0257559
1991-12-01,1.690000057220459,1.4476509
1992-01-01,1.840000033378601,1.9184604
1992-02-01,1.7799999713897705,1.7721252
1992-03-01,1.3799999952316284,1.6350462
1992-04-01,1.2000000476837158,1.0423579
1992-05-01,1.0399999618530271,0.9988758
1992-06-01,0.5799999833106995,0.7790826
1992-07-01,0.2199999988079071,0.19131087
1992-08-01,0.050000000745058,-0.053998657
1992-09-01,-0.0599999986588954,-0.1323662
1992-10-01,-0.3000000119209289,0.031045979
1992-11-01,-0.2800000011920929,-0.24047706
1992-12-01,-0.1500000059604644,-0.0940933
1993-01-01,0.1400000005960464,-0.19623299
1993-02-01,0.4099999964237213,0.040972836
1993-03-01,0.3899999856948852,0.34816045
1993-04-01,0.5899999737739563,0.40848783
1993-05-01,0.7799999713897705,0.5525426
1993-06-01,0.3499999940395355,0.7745549
1993-07-01,0.2300000041723251,0.14715014
1993-08-01,0.1299999952316284,0.11266523
1993-09-01,0.3499999940395355,0.15412636
1993-10-01,0.0599999986588954,0.51923645
1993-11-01,0.0,-0.036146216
1993-12-01,0.1599999964237213,0.036847495
1994-01-01,0.1000000014901161,0.12700753
1994-02-01,0.0599999986588954,0.09354208
1994-03-01,0.1099999994039535,0.037010275
1994-04-01,0.2599999904632568,0.21687053
1994-05-01,0.3100000023841858,0.3848854
1994-06-01,0.3199999928474426,0.47319707
1994-07-01,0.2399999946355819,0.4018393
1994-08-01,0.5299999713897705,0.1720924
1994-09-01,0.4799999892711639,0.58108985
1994-10-01,0.75,0.6484645
1994-11-01,1.1100000143051147,0.9126256
1994-12-01,1.25,1.1968037
1995-01-01,1.0199999809265137,1.0067643
1995-02-01,0.7300000190734863,0.5958935
1995-03-01,0.4600000083446502,0.4304876
1995-04-01,0.2800000011920929,0.4029515
1995-05-01,-0.1099999994039535,0.060857825
1995-06-01,-0.1400000005960464,-0.21849142
1995-07-01,-0.209999993443489,-0.12141253
1995-08-01,-0.6299999952316284,-0.4707555
1995-09-01,-0.8399999737739563,-0.80949014
1995-10-01,-0.8799999952316284,-1.0230303
1995-11-01,-1.100000023841858,-1.026389
1995-12-01,-0.949999988079071,-1.136463
1996-01-01,-0.8600000143051147,-0.8317157
1996-02-01,-0.8600000143051147,-0.7912158
1996-03-01,-0.6100000143051147,-0.8021896
1996-04-01,-0.4699999988079071,-0.47880542
1996-05-01,-0.3799999952316284,-0.40874824
1996-06-01,-0.4399999976158142,-0.30657622
1996-07-01,-0.4399999976158142,-0.55839974
1996-08-01,-0.2199999988079071,-0.44750085
1996-09-01,-0.449999988079071,-0.22581938
1996-10-01,-0.4399999976158142,-0.5353687
1996-11-01,-0.4099999964237213,-0.32658243
1996-12-01,-0.6399999856948853,-0.48315892
1997-01-01,-0.5299999713897705,-0.68263954
1997-02-01,-0.3700000047683716,-0.4480371
1997-03-01,-0.25,-0.34036347
1997-04-01,0.1599999964237213,0.027447289
1997-05-01,0.6399999856948853,0.5583476
1997-06-01,1.090000033378601,0.9482922
1997-07-01,1.559999942779541,1.4227563
1997-08-01,1.8899999856948853,1.9157591
1997-09-01,2.130000114440918,2.1121497
1997-10-01,2.359999895095825,2.3410878
1997-11-01,2.4100000858306885,2.3130982
1997-12-01,2.289999961853028,2.2739697
1998-01-01,2.380000114440918,2.2559328
1998-02-01,2.0299999713897705,2.105024
1998-03-01,1.340000033378601,1.3776563
1998-04-01,0.7799999713897705,0.8098829
1998-05-01,0.5699999928474426,0.32721102
1998-06-01,-0.3899999856948852,-0.16837838
1998-07-01,-0.9900000095367432,-1.0440629
1998-08-01,-1.2799999713897705,-1.35539
1998-09-01,-1.2599999904632568,-1.2675259
1998-10-01,-1.4600000381469729,-1.262234
1998-11-01,-1.4600000381469729,-1.3567306
1998-12-01,-1.690000057220459,-1.5526398
1999-01-01,-1.690000057220459,-1.7223043
1999-02-01,-1.3200000524520874,-1.4515522
1999-03-01,-0.949999988079071,-1.0110639
1999-04-01,-1.1100000143051147,-0.700159
1999-05-01,-1.149999976158142,-1.0917741
1999-06-01,-1.190000057220459,-1.1006672
1999-07-01,-1.1699999570846558,-1.295466
1999-08-01,-1.2200000286102295,-1.1833962
1999-09-01,-1.090000033378601,-1.0697451
1999-10-01,-1.2300000190734863,-1.1450971
1999-11-01,-1.5800000429153442,-1.4949844
1999-12-01,-1.7400000095367432,-1.8029507
2000-01-01,-1.7699999809265137,-1.7627168
2000-02-01,-1.5499999523162842,-1.5539768
2000-03-01,-0.9800000190734864,-0.9342976
2000-04-01,-0.8700000047683716,-0.76298213
2000-05-01,-0.8600000143051147,-0.8067086
2000-06-01,-0.7900000214576721,-0.65717036
2000-07-01,-0.6700000166893005,-0.4366885
2000-08-01,-0.4900000095367431,-0.65113914
2000-09-01,-0.5199999809265137,-0.4799878
2000-10-01,-0.699999988079071,-0.5082776
2000-11-01,-0.7900000214576721,-0.65873736
2000-12-01,-0.9200000166893004,-0.71733564
2001-01-01,-0.7300000190734863,-0.79341084
2001-02-01,-0.6299999952316284,-0.36008278
2001-03-01,-0.4799999892711639,-0.64722586
2001-04-01,-0.4900000095367431,-0.4818913
2001-05-01,-0.3400000035762787,-0.41916388
2001-06-01,-0.1899999976158142,-0.2703746
2001-07-01,-0.0399999991059303,-0.021697903
2001-08-01,-0.050000000745058,-0.021606067
2001-09-01,-0.2000000029802322,-0.02782333
2001-10-01,-0.1400000005960464,-0.18887965
2001-11-01,-0.3700000047683716,-0.12433295
2001-12-01,-0.4099999964237213,-0.3541464
2002-01-01,-0.1500000059604644,-0.28753117
2002-02-01,-0.0399999991059303,-0.13107626
